inchikey
JXASEBKWWMNGBY-UHFFFAOYSA-N
DWWLWTNQJOSYKD-UHFFFAOYSA-N
FFDCVUVIJYEXFD-UHFFFAOYSA-N
NEMCOQTUQLFXPW-UHFFFAOYSA-N
WOTZWKZVDNAAPF-UHFFFAOYSA-N
