[As](=O)([O-])([O-])C,0.26199999
[As]1(O[As]2c3c(Oc4c2cccc4)cccc3)c2c(Oc3c1cccc3)cccc2,-5.0019999
[AsH2]C,-3.0339999
[AsH2]CC,-2.911
[I+]([O-])c1ccccc1,-2.4319999
[I+2]([O-])([O-])c1ccccc1,-1.841
[n+]12c(-c3[n+](CC1)cccc3)cccc2,-3.4200001
[nH]1c(N)c-2ncnc-2nc1N,-1.8
[nH]1c2c(c3c1c1c(cc3)cccc1)ccc1c2cccc1,-7.4099998
[nH]1c2c(c3c1cccc3)cccc2,-4.9679999
[nH]1c2c(cccc2)cc1,-1.517
[nH]1c2c(nc1)cccc2,-1.7690001
[nH]1c2c(nc1C)cccc2,-1.96
[nH]1c2c(ncnc2N)nc1,-2.1199999
[nH]1c2nc(nc(N)c2nc1N)N,-1.5
[nH]1c2nc(ncc2nc1)N,-1.21
[nH]1c2nc(ncc2nc1)N(C)C,-2.665
[nH]1c2ncnc(c2nc1)C,0.17299999
[nH]1c2ncnc(NC)c2nc1,-2.102
[nH]1c2ncncc2nc1,0.61900002
[nH]1c2ncncc2nc1C,-0.382
[nH]1c2ncncc2nc1N,-2.415
[nH]1c2ncncc2nc1N(C)C,-1.3890001
[nH]1c2ncncc2nc1NC,-1.827
[nH]1cc(c2c1cccc2)C,-2.421
[nH]1cccc1,-0.17299999
[nH]1ccnc1CC(C)C,-1.049
[nH]1cnc-2ncnc-2c1NCc1ccccc1,-3.575
[nH]1nc(nc1)N,0.52200001
[nH]1nc2c(cccc2)c1,-2.1600001
[nH]1ncc2c1ncnc2,-1.381
[nH]1nccc1,-0.54500002
[nH]1nnc2c1cccc2,-0.77899998
[nH]1nnc2c1ncnc2,-0.221
[NH+](C(C#N)c1ccccc1)(CC)CC,-0.97399998
[NH+](C(C)C)(C)C,1.0599999
[NH+](C)(C)C,1.178
[NH+](CC)(CC)C,1.0599999
[NH+](CC)(CC)CC,-0.169
[NH+](CC\C=C/1\c2c(CCc3c\1cccc3)cccc2)(C)C,-4.4559999
[NH+](CC=C)(CC=C)CC=C,-1.739
[NH+](Cc1ccccc1)(C)C,-1.052
[NH+](CCC)(CCC)CCC,-2.2820001
[NH+](CCC[NH3+])(C)C,0.991
[NH+](CCCC)(CCCC)CCCC,-3.1159999
[NH+](CCCc1ccccc1)(C)C,-1.6569999
[NH+](CCCCC)(CCCCC)CCCCC,-4.033
[NH+](CCCCCCCC)(CCCCCCCC)CCCCCCCC,-6.8499999
[NH+](CCCN1c2c(CCc3c1cccc3)cccc2)(C)C,-4.1880002
[NH+](CCN(Cc1ccccc1)c1ncccc1)(C)C,-2.6389999
[NH+]=1c2c(CNC=1)cccc2,-0.72299999
[NH+]=1CCNC=1CN(Cc1ccccc1)c1ccccc1,-2.602
[NH+]1(CC[NH+](CC1)C)C(c1ccccc1)c1ccccc1,-2.4260001
[NH+]1(CC[NH+](CC1)C\C=C\c1ccccc1)C(c1ccccc1)c1ccccc1,-2.691
[NH+]1(CCCC1c1cccnc1)C,0.79000002
[NH+]1(CCCCC1)C,0.23
[NH+]1(CCCCC1)CC(Cc1ccc(cc1)C(C)(C)C)C,-2.7130001
[NH+]1(CCCCC1)CC[NH+]1CCCCC1,-0.59399998
[NH+]12[C@@H]([C@H]3C[C@H]([C@H]4[NH+](CCCC4)C3)C1)CCCC2,-1.887
[NH+]12C(C3CC(C4[NH+](C3)CCCC4)C1)CCCC2,-1.89
[NH+]12CC[NH+](CC1)CC2,0.60299999
[nH+]1ccc(N(C)C)cc1,-0.206
